mcsteps,1,2,3,4,5,6,7,8,9,10
720000,3930.0,7.0,41.0,129.0,5.0,0.0,51.0,3.0,210.0,100.0
730000,3930.0,3.0,26.0,127.0,9.0,0.0,45.0,11.0,203.0,102.0
740000,3930.0,1.0,13.0,126.0,10.0,0.0,48.0,2.0,219.0,103.0
750000,3930.0,0.0,4.0,124.0,10.0,0.0,40.0,7.0,219.0,105.0
760000,3930.0,0.0,3.0,124.0,9.0,0.0,24.0,8.0,235.0,105.0
770000,3930.0,0.0,1.0,121.0,9.0,0.0,22.0,3.0,231.0,108.0
780000,3930.0,0.0,1.0,121.0,7.0,0.0,18.0,1.0,237.0,108.0
790000,3930.0,0.0,1.0,120.0,6.0,0.0,13.0,3.0,223.0,109.0
800000,3930.0,8.0,72.0,130.0,8.0,0.0,41.0,1.0,226.0,112.0
810000,3930.0,6.0,50.0,127.0,9.0,0.0,49.0,4.0,222.0,115.0
820000,3930.0,4.0,31.0,123.0,11.0,0.0,53.0,3.0,234.0,119.0
830000,3930.0,2.0,22.0,122.0,13.0,0.0,45.0,3.0,233.0,120.0
840000,3930.0,2.0,19.0,119.0,11.0,0.0,38.0,7.0,239.0,123.0
850000,3930.0,2.0,14.0,117.0,10.0,0.0,32.0,3.0,245.0,125.0
860000,3930.0,1.0,9.0,117.0,11.0,0.0,29.0,5.0,248.0,125.0
870000,3930.0,1.0,5.0,111.0,10.0,0.0,22.0,6.0,256.0,131.0
880000,3930.0,1.0,5.0,108.0,8.0,0.0,18.0,2.0,256.0,134.0
890000,3930.0,0.0,3.0,107.0,8.0,0.0,16.0,2.0,259.0,135.0
900000,3927.0,9.0,70.0,114.0,8.0,0.0,47.0,0.0,261.0,141.0
910000,3927.0,7.0,51.0,112.0,9.0,0.0,47.0,5.0,269.0,143.0
920000,3927.0,5.0,42.0,111.0,11.0,0.0,46.0,3.0,273.0,144.0
930000,3927.0,3.0,29.0,109.0,12.0,0.0,48.0,7.0,279.0,146.0
940000,3927.0,3.0,19.0,108.0,7.0,0.0,45.0,8.0,289.0,147.0
950000,3927.0,3.0,13.0,107.0,5.0,0.0,41.0,4.0,296.0,148.0
960000,3927.0,2.0,10.0,105.0,6.0,0.0,33.0,7.0,302.0,150.0
970000,3927.0,2.0,10.0,102.0,6.0,0.0,24.0,5.0,298.0,153.0
980000,3927.0,1.0,7.0,98.0,7.0,0.0,19.0,3.0,308.0,157.0
990000,3927.0,1.0,4.0,96.0,5.0,0.0,19.0,2.0,311.0,159.0
1000000,3925.0,8.0,79.0,104.0,7.0,0.0,42.0,1.0,304.0,164.0
