mcsteps,1,2,3,4,5,6,7,8,9,10
720000,3938.0,5.0,31.0,134.0,8.0,0.0,49.0,6.0,181.0,94.0
730000,3938.0,4.0,24.0,134.0,8.0,0.0,46.0,6.0,181.0,94.0
740000,3938.0,2.0,14.0,134.0,10.0,0.0,42.0,9.0,191.0,94.0
750000,3938.0,2.0,9.0,132.0,9.0,0.0,38.0,3.0,194.0,96.0
760000,3938.0,2.0,7.0,130.0,9.0,0.0,33.0,2.0,201.0,98.0
770000,3938.0,2.0,5.0,127.0,9.0,0.0,27.0,5.0,196.0,101.0
780000,3938.0,1.0,2.0,125.0,10.0,0.0,22.0,4.0,205.0,103.0
790000,3938.0,0.0,2.0,124.0,9.0,0.0,19.0,3.0,199.0,104.0
800000,3937.0,8.0,71.0,132.0,10.0,0.0,46.0,2.0,204.0,109.0
810000,3937.0,6.0,49.0,131.0,10.0,0.0,54.0,5.0,203.0,110.0
820000,3937.0,5.0,33.0,127.0,11.0,0.0,53.0,6.0,215.0,114.0
830000,3937.0,3.0,24.0,126.0,11.0,0.0,48.0,9.0,217.0,115.0
840000,3937.0,3.0,17.0,124.0,9.0,1.0,38.0,6.0,235.0,117.0
850000,3937.0,2.0,13.0,124.0,8.0,1.0,32.0,8.0,237.0,117.0
860000,3937.0,2.0,9.0,123.0,8.0,0.0,31.0,0.0,249.0,118.0
870000,3937.0,1.0,8.0,118.0,9.0,0.0,25.0,2.0,254.0,123.0
880000,3937.0,1.0,6.0,114.0,8.0,0.0,21.0,1.0,255.0,127.0
890000,3937.0,1.0,5.0,113.0,5.0,0.0,15.0,2.0,261.0,128.0
900000,3934.0,6.0,69.0,123.0,9.0,0.0,48.0,2.0,259.0,131.0
910000,3934.0,5.0,51.0,121.0,10.0,0.0,46.0,8.0,270.0,133.0
920000,3934.0,4.0,35.0,120.0,10.0,0.0,50.0,6.0,267.0,134.0
930000,3934.0,3.0,20.0,120.0,8.0,0.0,53.0,7.0,276.0,134.0
940000,3934.0,2.0,15.0,120.0,8.0,0.0,43.0,9.0,287.0,134.0
950000,3934.0,1.0,11.0,117.0,8.0,0.0,35.0,3.0,302.0,137.0
960000,3934.0,0.0,8.0,113.0,8.0,0.0,30.0,5.0,308.0,141.0
970000,3934.0,0.0,8.0,111.0,8.0,0.0,22.0,4.0,306.0,143.0
980000,3934.0,0.0,5.0,110.0,8.0,0.0,19.0,3.0,313.0,144.0
990000,3934.0,0.0,3.0,108.0,7.0,0.0,16.0,2.0,319.0,146.0
1000000,3933.0,6.0,72.0,114.0,11.0,0.0,40.0,3.0,308.0,153.0
