mcsteps,1,2,3,4,5,6,7,8,9,10
730000,996.0,9.0,26.0,133.0,3.0,0.0,46.0,5.0,199.0,95.0
740000,996.0,6.0,13.0,132.0,3.0,0.0,50.0,4.0,207.0,96.0
750000,996.0,4.0,9.0,127.0,5.0,0.0,40.0,10.0,201.0,101.0
760000,996.0,4.0,9.0,127.0,4.0,0.0,28.0,3.0,220.0,101.0
770000,996.0,3.0,8.0,126.0,4.0,0.0,23.0,4.0,217.0,102.0
780000,996.0,3.0,7.0,124.0,4.0,0.0,19.0,4.0,222.0,104.0
790000,996.0,3.0,7.0,122.0,4.0,0.0,16.0,3.0,220.0,106.0
800000,996.0,12.0,84.0,128.0,5.0,0.0,37.0,2.0,223.0,112.0
810000,996.0,11.0,60.0,126.0,6.0,0.0,49.0,5.0,221.0,114.0
820000,996.0,9.0,40.0,125.0,6.0,0.0,50.0,8.0,234.0,115.0
830000,996.0,9.0,28.0,125.0,5.0,0.0,48.0,3.0,242.0,115.0
840000,996.0,8.0,23.0,124.0,5.0,0.0,42.0,6.0,249.0,116.0
850000,996.0,8.0,15.0,124.0,5.0,0.0,38.0,6.0,251.0,116.0
860000,996.0,7.0,11.0,124.0,5.0,0.0,33.0,6.0,259.0,116.0
870000,996.0,7.0,8.0,123.0,5.0,0.0,29.0,2.0,267.0,117.0
880000,996.0,6.0,7.0,122.0,4.0,0.0,23.0,3.0,267.0,118.0
890000,996.0,4.0,5.0,116.0,5.0,0.0,17.0,2.0,275.0,124.0
900000,995.0,14.0,81.0,121.0,3.0,0.0,38.0,0.0,272.0,132.0
910000,995.0,10.0,50.0,117.0,5.0,0.0,55.0,7.0,276.0,136.0
920000,995.0,9.0,37.0,114.0,5.0,0.0,55.0,3.0,283.0,139.0
930000,995.0,8.0,28.0,112.0,5.0,0.0,49.0,8.0,290.0,141.0
940000,995.0,8.0,19.0,109.0,5.0,0.0,47.0,4.0,304.0,144.0
950000,995.0,6.0,15.0,108.0,5.0,0.0,36.0,7.0,304.0,145.0
960000,995.0,5.0,9.0,106.0,4.0,0.0,29.0,5.0,318.0,147.0
970000,995.0,5.0,5.0,105.0,3.0,0.0,27.0,4.0,305.0,148.0
980000,995.0,4.0,4.0,100.0,3.0,0.0,21.0,1.0,315.0,153.0
990000,995.0,4.0,3.0,98.0,2.0,0.0,16.0,2.0,319.0,155.0
1000000,995.0,13.0,79.0,107.0,3.0,0.0,35.0,0.0,316.0,159.0
