mcsteps,1,2,3,4,5,6,7,8,9,10
730000,100.0,6.0,24.0,133.0,8.0,0.0,52.0,2.0,200.0,96.0
740000,100.0,5.0,16.0,131.0,8.0,0.0,49.0,8.0,205.0,98.0
750000,100.0,5.0,12.0,131.0,8.0,0.0,45.0,5.0,203.0,98.0
760000,100.0,5.0,10.0,130.0,8.0,0.0,35.0,8.0,212.0,99.0
770000,100.0,5.0,7.0,127.0,7.0,0.0,27.0,7.0,210.0,102.0
780000,100.0,4.0,5.0,127.0,7.0,0.0,22.0,3.0,220.0,102.0
790000,100.0,4.0,4.0,123.0,5.0,0.0,21.0,2.0,215.0,106.0
800000,100.0,14.0,70.0,128.0,4.0,0.0,51.0,3.0,218.0,113.0
810000,100.0,13.0,54.0,127.0,4.0,0.0,53.0,6.0,207.0,114.0
820000,100.0,13.0,37.0,126.0,4.0,0.0,52.0,6.0,223.0,115.0
830000,100.0,11.0,29.0,124.0,6.0,0.0,45.0,5.0,231.0,117.0
840000,100.0,10.0,22.0,122.0,6.0,0.0,42.0,5.0,241.0,119.0
850000,100.0,9.0,18.0,121.0,6.0,0.0,34.0,5.0,247.0,120.0
860000,100.0,8.0,15.0,120.0,6.0,0.0,28.0,2.0,259.0,121.0
870000,100.0,8.0,11.0,117.0,5.0,0.0,23.0,6.0,263.0,124.0
880000,100.0,5.0,7.0,116.0,5.0,0.0,21.0,1.0,266.0,125.0
890000,100.0,5.0,5.0,115.0,4.0,0.0,19.0,1.0,270.0,126.0
900000,100.0,14.0,79.0,122.0,4.0,0.0,42.0,0.0,269.0,132.0
910000,100.0,12.0,53.0,118.0,5.0,0.0,53.0,6.0,273.0,136.0
920000,100.0,11.0,38.0,116.0,6.0,0.0,55.0,6.0,279.0,138.0
930000,100.0,11.0,29.0,112.0,5.0,0.0,45.0,6.0,295.0,142.0
940000,100.0,9.0,20.0,111.0,6.0,0.0,39.0,8.0,305.0,143.0
950000,100.0,8.0,15.0,110.0,6.0,0.0,35.0,5.0,307.0,144.0
960000,100.0,7.0,9.0,108.0,6.0,0.0,36.0,4.0,312.0,146.0
970000,100.0,6.0,7.0,107.0,5.0,0.0,30.0,5.0,309.0,147.0
980000,100.0,6.0,4.0,102.0,5.0,0.0,26.0,3.0,318.0,152.0
990000,100.0,5.0,3.0,101.0,6.0,0.0,23.0,2.0,323.0,153.0
1000000,100.0,14.0,77.0,111.0,6.0,0.0,45.0,2.0,315.0,156.0
