meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
300000,7.4474926e-10,1.2863051e-10,4.3795162e-11,8.778258e-12,2.2852109e-10,2.8609223e-10,4.401576e-10,4.6791265e-10,3.6150216e-10,7.62371e-11,9.011404e-10,8.352237e-10
310000,7.752287e-10,8.396826e-11,3.0266598e-11,6.6518978e-12,1.5837262e-10,2.1038495e-10,4.3787268e-10,3.5959344e-10,2.8275737e-10,6.248897e-11,7.449213e-10,7.1152917e-10
320000,7.6537554e-10,9.042955e-11,7.906787e-12,1.8798108e-12,1.611e-10,2.5839839e-10,4.4115267e-10,3.7801193e-10,5.5912542e-11,2.5676513e-11,7.9217344e-10,7.8587375e-10
330000,7.7020057e-10,7.809388e-11,2.4353923e-11,5.7858995e-12,1.2829471e-10,2.5115396e-10,4.4533027e-10,3.4663036e-10,2.4809085e-10,5.8412025e-11,6.838614e-10,7.7821e-10
340000,7.758542e-10,8.060132e-11,3.6001254e-11,7.921919e-12,1.4634702e-10,2.664287e-10,4.45257e-10,3.5180583e-10,3.1812522e-10,6.882186e-11,7.230099e-10,8.026583e-10
350000,8.048275e-10,8.3793764e-11,2.0032214e-11,4.418036e-12,1.2983618e-10,2.178703e-10,4.3633125e-10,3.6259415e-10,2.0561931e-10,4.5600343e-11,7.1682604e-10,7.154091e-10
360000,8.159644e-10,9.554379e-11,8.539485e-12,1.5622057e-12,1.6692386e-10,2.5565983e-10,4.3358742e-10,3.9088632e-10,5.560896e-11,2.2691488e-11,7.767144e-10,7.822596e-10
370000,8.329889e-10,1.1194742e-10,3.0968682e-11,6.210877e-12,1.9858491e-10,2.4537825e-10,4.3287543e-10,4.2597598e-10,2.8881889e-10,6.299233e-11,8.416423e-10,7.6588397e-10
380000,8.480155e-10,8.73645e-11,1.8992625e-11,3.4466306e-12,1.4128876e-10,2.808639e-10,4.3651e-10,3.637095e-10,2.0826792e-10,4.3988802e-11,7.1001993e-10,8.272224e-10
390000,8.478406e-10,8.428246e-11,1.193146e-11,1.9163325e-12,1.4492972e-10,2.8702501e-10,4.32213e-10,3.566616e-10,1.5038044e-10,3.074539e-11,7.171508e-10,8.181698e-10
400000,8.4673946e-10,7.608362e-11,2.3623483e-11,4.9165394e-12,1.5468783e-10,2.488037e-10,4.3510806e-10,3.236006e-10,2.4904284e-10,5.326985e-11,7.425163e-10,7.565917e-10
410000,8.48964e-10,7.313954e-11,3.1195328e-11,6.0567046e-12,1.2080983e-10,2.3675098e-10,4.4107176e-10,3.1056924e-10,2.862773e-10,6.124726e-11,6.3988403e-10,7.351499e-10
420000,8.648559e-10,7.789078e-11,1.8066734e-11,3.5139701e-12,1.2459335e-10,2.1951345e-10,4.384751e-10,3.3698572e-10,2.0600857e-10,4.3186437e-11,6.5594513e-10,7.07827e-10
430000,8.6461543e-10,7.246953e-11,6.7234725e-12,6.48075e-13,1.1524562e-10,2.4774985e-10,4.393865e-10,3.171311e-10,3.019114e-11,5.3102293e-12,6.3466915e-10,7.5461987e-10
440000,8.782486e-10,6.759534e-11,3.027243e-11,6.1871185e-12,1.11789814e-10,2.1855318e-10,4.3743406e-10,3.1248779e-10,2.9298292e-10,6.216373e-11,5.963147e-10,6.930608e-10
450000,8.87941e-10,7.9258385e-11,2.6062907e-11,5.511139e-12,1.3250619e-10,2.2222078e-10,4.4026313e-10,3.3977557e-10,2.5563188e-10,5.5472165e-11,7.067183e-10,7.0566214e-10
460000,8.8850366e-10,4.7346745e-11,1.8393538e-11,3.3290432e-12,6.150808e-11,2.7823707e-10,4.3773332e-10,2.1806368e-10,2.1025016e-10,4.3928514e-11,4.194717e-10,7.997313e-10
470000,8.9849383e-10,5.0322097e-11,1.4412567e-11,3.204009e-12,8.720768e-11,2.8853486e-10,4.3261725e-10,2.427404e-10,1.5193591e-10,3.489303e-11,5.1693616e-10,8.073698e-10
480000,9.049437e-10,4.934887e-11,3.8882505e-11,7.793631e-12,8.0837184e-11,3.1786854e-10,4.3995618e-10,2.1596037e-10,3.3090644e-10,6.8540285e-11,4.7239523e-10,8.580499e-10
490000,9.223492e-10,4.9727476e-11,1.2430721e-11,2.6940223e-12,9.656043e-11,3.3012965e-10,4.391222e-10,2.1712232e-10,1.5110628e-10,3.3659187e-11,5.313863e-10,8.796397e-10
500000,9.0243263e-10,5.1521357e-11,2.5401932e-11,5.55718e-12,7.9533546e-11,3.7476885e-10,4.368494e-10,2.3476412e-10,2.4866556e-10,5.2945023e-11,4.788106e-10,9.446187e-10
510000,8.9581265e-10,5.0688013e-11,1.807558e-11,3.6564194e-12,7.92995e-11,3.8667372e-10,4.4149737e-10,2.286279e-10,2.0133852e-10,4.2836307e-11,4.8953175e-10,9.330612e-10
520000,9.035013e-10,4.6371806e-11,1.0862434e-11,1.8636444e-12,9.854449e-11,3.92805e-10,4.4401896e-10,2.1246761e-10,1.4421095e-10,3.0150094e-11,5.3983645e-10,9.531522e-10
530000,9.122426e-10,4.1352817e-11,6.7345426e-12,6.3024163e-13,6.420266e-11,3.8326536e-10,4.480174e-10,1.901067e-10,2.2740048e-11,7.0600986e-12,4.3106035e-10,9.449158e-10
540000,9.226879e-10,4.0143347e-11,3.1491948e-11,5.942137e-12,9.3156455e-11,3.6911138e-10,4.365131e-10,1.938095e-10,2.9222857e-10,6.062143e-11,4.945904e-10,9.157699e-10
550000,9.098443e-10,4.3100797e-11,3.4948166e-11,6.763306e-12,7.997367e-11,4.0880535e-10,4.482726e-10,1.9137333e-10,3.173564e-10,6.611871e-11,4.5575022e-10,9.637992e-10
560000,9.326423e-10,4.349637e-11,1.8398331e-11,3.3416635e-12,6.637408e-11,4.117567e-10,4.4539533e-10,1.9207279e-10,2.0522191e-10,4.2826635e-11,4.352466e-10,9.605161e-10
570000,9.449977e-10,4.0138396e-11,3.6790078e-11,7.616607e-12,7.444221e-11,4.0703196e-10,4.4231319e-10,1.6544491e-10,3.1997424e-10,6.686106e-11,4.171741e-10,9.654657e-10
580000,9.531018e-10,3.5509796e-11,3.966696e-11,8.377907e-12,7.39384e-11,4.1927264e-10,4.4538762e-10,1.4517079e-10,3.2796232e-10,7.040289e-11,4.89484e-10,9.749356e-10
590000,9.539189e-10,3.9903844e-11,1.2419718e-11,2.2528418e-12,6.7116715e-11,4.694695e-10,4.4199508e-10,1.6787578e-10,1.4611674e-10,3.088631e-11,4.108836e-10,1.0259461e-09
600000,9.514054e-10,4.283478e-11,6.6744167e-12,6.836615e-13,7.4261104e-11,4.2384227e-10,4.4421763e-10,1.9418978e-10,2.4672991e-11,6.059555e-12,4.669754e-10,9.672857e-10
610000,9.443177e-10,4.7275735e-11,2.9224376e-11,5.6563187e-12,7.990693e-11,4.474327e-10,4.4618484e-10,2.131184e-10,2.8119848e-10,5.874772e-11,5.0795923e-10,9.905275e-10
620000,9.521389e-10,4.1350527e-11,1.8118214e-11,3.1887158e-12,8.403257e-11,4.2068998e-10,4.4121873e-10,1.8810288e-10,2.0342439e-10,4.2548853e-11,4.845151e-10,9.548703e-10
630000,9.450526e-10,4.979973e-11,1.0119627e-11,2.1645372e-12,8.235601e-11,4.8292076e-10,4.5050896e-10,2.3166252e-10,3.4595198e-11,1.8265079e-11,4.805913e-10,1.0293804e-09
640000,9.607416e-10,4.5749515e-11,1.8837114e-11,3.8727294e-12,7.773451e-11,4.3866782e-10,4.4802084e-10,2.1374645e-10,2.0403931e-10,4.3061155e-11,4.600472e-10,9.708132e-10
650000,9.649497e-10,5.1493986e-11,7.357414e-12,1.4126417e-12,7.179651e-11,4.7357157e-10,4.463592e-10,2.5276845e-10,2.6094566e-11,1.049389e-11,4.7592635e-10,1.014954e-09
660000,9.735689e-10,5.037984e-11,2.6939536e-11,5.6727656e-12,1.10800244e-10,4.524704e-10,4.4663925e-10,2.3367686e-10,2.5235725e-10,5.6037876e-11,5.860001e-10,9.907024e-10
670000,9.993021e-10,4.604766e-11,3.7945792e-11,7.647083e-12,8.483519e-11,4.6964294e-10,4.406904e-10,2.1338317e-10,3.2295344e-10,6.727277e-11,5.183352e-10,1.0082714e-09
680000,1.0033245e-09,4.5570964e-11,6.3513205e-12,9.387415e-13,7.830996e-11,5.087006e-10,4.4512996e-10,2.1339461e-10,1.7106216e-11,6.269425e-12,4.6887116e-10,1.0511831e-09
690000,9.962233e-10,3.8593552e-11,7.5558925e-12,1.739426e-12,7.365037e-11,5.373038e-10,4.4322374e-10,1.659463e-10,2.6031363e-11,1.1923082e-11,4.1810552e-10,1.0831889e-09
700000,9.841382e-10,3.5071095e-11,1.25544046e-11,2.1854218e-12,6.79466e-11,5.1853266e-10,4.3908888e-10,1.4192834e-10,1.4495301e-10,3.0553067e-11,4.3838005e-10,1.0540939e-09
710000,9.952396e-10,3.1910377e-11,1.4279871e-11,2.921663e-12,6.099426e-11,5.434145e-10,4.4826007e-10,1.3413634e-10,1.4489575e-10,3.242537e-11,3.6442596e-10,1.0781029e-09
720000,9.792038e-10,4.3963944e-11,1.2741887e-11,2.502716e-12,6.8825376e-11,5.7679056e-10,4.4729903e-10,2.072343e-10,1.4247246e-10,3.0646707e-11,4.158254e-10,1.1048232e-09
730000,1.0030828e-09,3.8945264e-11,4.7295574e-11,9.6890005e-12,7.940646e-11,5.3006116e-10,4.4308532e-10,1.880413e-10,3.7551717e-10,7.8662556e-11,4.2041878e-10,1.0561941e-09
740000,1.0070346e-09,3.964657e-11,1.9564872e-11,3.7385446e-12,6.7361734e-11,5.8043975e-10,4.4130688e-10,1.882351e-10,2.031058e-10,4.2588544e-11,4.0318535e-10,1.1015991e-09
750000,1.0126809e-09,3.9322552e-11,2.0058533e-11,4.580189e-12,8.971532e-11,5.575511e-10,4.3537984e-10,1.8777771e-10,2.0372584e-10,4.5479794e-11,4.5293808e-10,1.0789236e-09
760000,1.0144964e-09,4.7066486e-11,2.4684348e-11,4.878491e-12,9.63706e-11,6.0948463e-10,4.4009263e-10,2.2578729e-10,2.4549338e-10,5.4684233e-11,4.898498e-10,1.1295412e-09
770000,1.011867e-09,4.9534453e-11,6.943266e-12,1.3384016e-12,8.930666e-11,6.3528094e-10,4.4546336e-10,2.4508146e-10,1.9982996e-11,1.3332488e-11,4.9773563e-10,1.1330914e-09
780000,1.0208835e-09,5.0264407e-11,1.4838e-11,2.8895894e-12,8.846525e-11,6.7871403e-10,4.4422682e-10,2.452907e-10,1.4845132e-10,3.1227465e-11,4.835052e-10,1.189186e-09
790000,1.037031e-09,4.6375872e-11,1.7098715e-11,3.1427872e-12,8.146889e-11,6.738215e-10,4.4021434e-10,2.2518559e-10,1.972324e-10,4.1339286e-11,5.049753e-10,1.1757022e-09
800000,1.0253725e-09,3.4467387e-11,6.59735e-12,1.349092e-12,5.860335e-11,6.423206e-10,4.4300338e-10,1.5935217e-10,2.207782e-11,9.084723e-12,3.6387077e-10,1.1518514e-09
810000,1.0085515e-09,3.9927395e-11,1.3137262e-11,2.5918746e-12,7.8839955e-11,6.341228e-10,4.466499e-10,1.8298144e-10,1.4031658e-10,3.1823284e-11,4.2344575e-10,1.1351893e-09
820000,1.0151242e-09,3.825223e-11,1.748659e-11,3.380417e-12,7.1682354e-11,6.405044e-10,4.5166154e-10,1.8301079e-10,1.9614917e-10,4.135893e-11,4.0045658e-10,1.1425375e-09
830000,1.0219536e-09,4.7936318e-11,1.9627605e-11,3.826143e-12,8.252477e-11,6.5180034e-10,4.476857e-10,2.389192e-10,1.9924197e-10,4.5139944e-11,4.7339693e-10,1.144688e-09
